Year,Region,regionID,Value
1988,Africa,1,15.15754211
1988,Americas,2,886.4486274
1988,Asia & Oceania,3,132.4214668
1988,Europe,4,653.1948351
1988,Middle East,5,66.73289765
1989,Africa,1,15.19256438
1989,Americas,2,877.1257599
1989,Asia & Oceania,3,139.3136227
1989,Europe,4,637.539245
1989,Middle East,5,61.97445567
1990,Africa,1,14.9818512
1990,Americas,2,837.7597773
1990,Asia & Oceania,3,145.7571127
1990,Europe,4,578.2544496
1990,Middle East,5,87.37327265
1991,Africa,1,13.25639316
1991,Americas,2,741.3257394
1991,Asia & Oceania,3,148.1313559
1991,Middle East,5,97.15688992
1992,Africa,1,12.54544369
1992,Americas,2,776.7427132
1992,Asia & Oceania,3,156.1627271
1992,Europe,4,38.55826428
1992,Middle East,5,77.39447265
1993,Africa,1,14.77669529
1993,Americas,2,742.384274
1993,Asia & Oceania,3,159.8425299
1993,Europe,4,354.5927684
1993,Middle East,5,73.56262215
1994,Africa,1,22.56124145
1994,Americas,2,79.68167374
1994,Asia & Oceania,3,16.79579328
1994,Europe,4,347.9775346
1994,Middle East,5,69.87546228
1995,Africa,1,12.83433935
1995,Americas,2,67.81179917
1995,Asia & Oceania,3,165.7186459
1995,Europe,4,324.2348392
1995,Middle East,5,66.21897112
1996,Africa,1,12.45295154
1996,Americas,2,634.4875187
1996,Asia & Oceania,3,169.9498528
1996,Europe,4,322.6769563
1996,Middle East,5,66.48393682
1997,Africa,1,13.5797315
1997,Americas,2,627.4788826
1997,Asia & Oceania,3,176.2141396
1997,Europe,4,323.3267995
1997,Middle East,5,73.58184685
1998,Africa,1,13.49191422
1998,Americas,2,615.5952365
1998,Asia & Oceania,3,176.7931587
1998,Europe,4,313.1751777
1998,Middle East,5,78.19335922
1999,Africa,1,19.25134367
1999,Americas,2,615.5477379
1999,Asia & Oceania,3,187.5259545
1999,Europe,4,318.7553665
1999,Middle East,5,75.22868849
2000,Africa,1,16.59319646
2000,Americas,2,637.4688339
2000,Asia & Oceania,3,191.8629655
2000,Europe,4,328.4974968
2000,Middle East,5,8.742228588
2001,Africa,1,17.58342334
2001,Americas,2,645.9562271
2001,Asia & Oceania,3,23.13799378
2001,Europe,4,331.1868271
2001,Middle East,5,83.87468752
2002,Africa,1,18.54322555
2002,Americas,2,717.7689392
2002,Asia & Oceania,3,212.9258448
2002,Europe,4,339.1645959
2002,Middle East,5,8.952838967
2003,Africa,1,18.59726975
2003,Americas,2,86.34682127
2003,Asia & Oceania,3,222.2297582
2003,Europe,4,346.9463731
2003,Middle East,5,81.74531574
2004,Africa,1,19.36339869
2004,Americas,2,875.5856186
2004,Asia & Oceania,3,236.3711355
2004,Europe,4,351.3617595
2004,Middle East,5,89.74455452
2005,Africa,1,2.777988239
2005,Americas,2,916.5787835
2005,Asia & Oceania,3,248.5135315
2005,Europe,4,355.7454278
2005,Middle East,5,99.63937846
2006,Africa,1,21.87184557
2006,Americas,2,931.3245837
2006,Asia & Oceania,3,263.5467468
2006,Europe,4,361.3354614
2006,Middle East,5,17.32164728
2007,Africa,1,22.91374938
2007,Americas,2,96.15416237
2007,Asia & Oceania,3,279.3738134
2007,Europe,4,371.3841781
2007,Middle East,5,118.3876592
2008,Africa,1,25.89921414
2008,Americas,2,13.25415838
2008,Asia & Oceania,3,296.8771445
2008,Europe,4,38.86825598
2008,Middle East,5,118.8834939
2009,Africa,1,27.29464824
2009,Americas,2,111.4483292
2009,Asia & Oceania,3,335.8881172
2009,Europe,4,386.4363292
2009,Middle East,5,12.12367716
2010,Africa,1,29.11717784
2010,Americas,2,1141.238765
2010,Asia & Oceania,3,343.8729373
2010,Europe,4,378.8713898
2010,Middle East,5,123.1294868
2011,Africa,1,32.45215692
2011,Americas,2,1128.846511
2011,Asia & Oceania,3,356.4433272
2011,Europe,4,372.7515558
2011,Middle East,5,126.1414454
2012,Africa,1,33.77469817
2012,Americas,2,171.389833
2012,Asia & Oceania,3,374.3214816
2012,Europe,4,375.8543164
2012,Middle East,5,14.7524442
2013,Africa,1,37.22772634
2013,Americas,2,996.5293854
2013,Asia & Oceania,3,391.5475993
2013,Europe,4,368.8585724
2013,Middle East,5,153.9861435
2014,Africa,1,39.42285993
2014,Americas,2,943.3669516
2014,Asia & Oceania,3,411.8528152
2014,Europe,4,371.8199984
