Year,Sub-Region,subregionID,Value
1988,North Africa,1,3.371454355
1988,sub-Saharan Africa,2,11.7868776
1988,Central America and the Caribbean,3,5.251968233
1988,North America,4,841.4886226
1988,South America,5,39.77533342
1988,East Asia,6,74.11411862
1988,South Asia,7,26.93598778
1988,South East Asia,8,15.31658395
1988,Oceania,9,16.54855363
1988,Eastern Europe,10,282.9273256
1988,Central and Western Europe,11,37.27471455
1989,North Africa,1,3.519181292
1989,sub-Saharan Africa,2,11.67338318
1989,Central America and the Caribbean,3,5.413925798
1989,North America,4,834.447757
1989,South America,5,37.25888879
1989,East Asia,6,78.59155831
1989,South Asia,7,28.52952582
1989,South East Asia,8,16.63967358
1989,Oceania,9,16.29417829
1989,Eastern Europe,10,262.3357956
1989,Central and Western Europe,11,375.2353539
1990,North Africa,1,3.545976833
1990,sub-Saharan Africa,2,11.47726428
1990,Central America and the Caribbean,3,5.123587972
1990,North America,4,8.557816883
1990,South America,5,32.19734332
1990,East Asia,6,83.82956528
1990,South Asia,7,28.15887776
1990,South East Asia,8,18.34292193
1990,Oceania,9,16.22534888
1990,Eastern Europe,10,221.9323699
1990,Central and Western Europe,11,356.3228568
1991,North Africa,1,3.631633384
1991,sub-Saharan Africa,2,9.624675932
1991,Central America and the Caribbean,3,4.882778887
1991,North America,4,77.98442364
1991,South America,5,28.53237238
1991,East Asia,6,86.22234517
1991,South Asia,7,27.19973743
1991,South East Asia,8,18.62734881
1991,Oceania,9,16.28233276
1991,Central and Western Europe,11,34.71423729
1992,North Africa,1,4.169379969
1992,sub-Saharan Africa,2,8.376637181
1992,Central America and the Caribbean,3,5.266472397
1992,North America,4,744.8767265
1992,South America,5,26.65339517
1992,Central Asia,12,1.111448815
1992,East Asia,6,92.57369742
1992,South Asia,7,26.84394526
1992,South East Asia,8,19.27591442
1992,Oceania,9,16.5497128
1992,Eastern Europe,10,49.44777115
1992,Central and Western Europe,11,331.5134872
1993,North Africa,1,4.415721736
1993,sub-Saharan Africa,2,1.375123117
1993,Central America and the Caribbean,3,5.368948398
1993,North America,4,75.94378657
